source_row	uniprot_A	uniprot_B	label	a_sequence	b_sequence	a_length	b_length	a_within_max_length	b_within_max_length	decision	reason
105	O22179	O23320	positive	True	True	309	151	True	True	kept	both_sequences_available_within_max_length
106	O22179	P25071	positive	True	True	309	324	True	True	kept	both_sequences_available_within_max_length
107	O22179	P25854	positive	True	False	309		True	False	removed	sequence_missing_B
108	O22179	P30187	positive	True	True	309	191	True	True	kept	both_sequences_available_within_max_length
109	O22179	P59220	positive	True	True	309	149	True	True	kept	both_sequences_available_within_max_length
110	O22179	Q03509	positive	True	True	309	149	True	True	kept	both_sequences_available_within_max_length
111	O22179	Q9S744	positive	True	True	309	151	True	True	kept	both_sequences_available_within_max_length
112	O22265	O22265	positive	True	True	373	373	True	True	kept	both_sequences_available_within_max_length
113	O22265	P37107	positive	True	True	373	564	True	True	kept	both_sequences_available_within_max_length
114	O22265	Q01667	positive	True	True	373	241	True	True	kept	both_sequences_available_within_max_length
115	O22265	Q8LBP4	positive	True	True	373	462	True	True	kept	both_sequences_available_within_max_length
116	O22265	Q9XF89	positive	True	True	373	280	True	True	kept	both_sequences_available_within_max_length
117	O22267	Q05609	positive	True	True	1122	821	False	True	removed	sequence_A_exceeds_max_length
118	O22286	Q8H1E4	positive	True	True	408	334	True	True	kept	both_sequences_available_within_max_length
119	O22446	Q8GWF1	positive	True	True	501	289	True	True	kept	both_sequences_available_within_max_length
120	O22446	Q9LZV6	positive	True	True	501	263	True	True	kept	both_sequences_available_within_max_length
121	O22456	Q6EVK6	positive	True	True	251	2193	True	False	removed	sequence_B_exceeds_max_length
122	O22456	Q8W234	positive	True	True	251	877	True	True	kept	both_sequences_available_within_max_length
123	O22456	Q9FUY2	positive	True	True	251	931	True	True	kept	both_sequences_available_within_max_length
124	O22467	Q9LKZ3	positive	True	True	424	1013	True	True	kept	both_sequences_available_within_max_length
125	O22467	Q9M0V3-1	positive	True	False	424		True	False	removed	sequence_missing_B
126	O22476	Q94AG2	positive	True	True	1196	625	False	True	removed	sequence_A_exceeds_max_length
127	O22607	O49552	positive	True	True	507	1088	True	False	removed	sequence_B_exceeds_max_length
128	O22607	P93831	positive	True	True	507	902	True	True	kept	both_sequences_available_within_max_length
129	O22607	Q9M0V3	positive	True	True	507	1088	True	False	removed	sequence_B_exceeds_max_length
130	O22609	O22609	positive	True	True	439	439	True	True	kept	both_sequences_available_within_max_length
131	O22763	O23320	positive	True	True	411	151	True	True	kept	both_sequences_available_within_max_length
132	O22763	P25071	positive	True	True	411	324	True	True	kept	both_sequences_available_within_max_length
133	O22763	P25854	positive	True	False	411		True	False	removed	sequence_missing_B
134	O22763	P30187	positive	True	True	411	191	True	True	kept	both_sequences_available_within_max_length
135	O22763	P59220	positive	True	True	411	149	True	True	kept	both_sequences_available_within_max_length
136	O22763	Q03509	positive	True	True	411	149	True	True	kept	both_sequences_available_within_max_length
137	O22763	Q9LZP8	positive	True	True	411	146	True	True	kept	both_sequences_available_within_max_length
138	O22763	Q9S744	positive	True	True	411	151	True	True	kept	both_sequences_available_within_max_length
139	O22971	Q8LAS7	positive	True	True	502	226	True	True	kept	both_sequences_available_within_max_length
140	O23144	P20649	positive	True	True	612	949	True	True	kept	both_sequences_available_within_max_length
141	O23145	O23320	positive	True	True	431	151	True	True	kept	both_sequences_available_within_max_length
142	O23145	P25071	positive	True	True	431	324	True	True	kept	both_sequences_available_within_max_length
143	O23145	P25854	positive	True	False	431		True	False	removed	sequence_missing_B
144	O23145	P30187	positive	True	True	431	191	True	True	kept	both_sequences_available_within_max_length
145	O23145	Q03509	positive	True	True	431	149	True	True	kept	both_sequences_available_within_max_length
146	O23145	Q9S744	positive	True	True	431	151	True	True	kept	both_sequences_available_within_max_length
147	O23171	Q9LFT6	positive	True	True	256	258	True	True	kept	both_sequences_available_within_max_length
148	O23320	O23552	positive	True	False	151		True	False	removed	sequence_missing_B
149	O23320	O48814	positive	True	True	151	395	True	True	kept	both_sequences_available_within_max_length
150	O23320	O64817	positive	True	True	151	333	True	True	kept	both_sequences_available_within_max_length
151	O23320	O65469	positive	True	True	151	265	True	True	kept	both_sequences_available_within_max_length
152	O23320	O80651	positive	True	True	151	260	True	True	kept	both_sequences_available_within_max_length
153	O23320	O81292	positive	True	True	151	674	True	True	kept	both_sequences_available_within_max_length
154	O23320	P27450	positive	True	True	151	419	True	True	kept	both_sequences_available_within_max_length
155	O23320	P29383	positive	True	True	151	258	True	True	kept	both_sequences_available_within_max_length
156	O23320	P43294	positive	True	True	151	443	True	True	kept	both_sequences_available_within_max_length
157	O23320	P55737	positive	True	True	151	699	True	True	kept	both_sequences_available_within_max_length
158	O23320	P93050	positive	True	True	151	617	True	True	kept	both_sequences_available_within_max_length
159	O23320	Q2V359	positive	True	True	151	190	True	True	kept	both_sequences_available_within_max_length
160	O23320	Q38876	positive	True	True	151	242	True	True	kept	both_sequences_available_within_max_length
161	O23320	Q39010	positive	True	True	151	412	True	True	kept	both_sequences_available_within_max_length
162	O23320	Q39050	positive	True	True	151	457	True	True	kept	both_sequences_available_within_max_length
163	O23320	Q42479	positive	True	True	151	529	True	True	kept	both_sequences_available_within_max_length
164	O23320	Q4PSU4	positive	True	True	151	264	True	True	kept	both_sequences_available_within_max_length
165	O23320	Q5XXJ3	positive	True	True	151	248	True	True	kept	both_sequences_available_within_max_length
166	O23320	Q70E96	positive	True	True	151	484	True	True	kept	both_sequences_available_within_max_length
167	O23320	Q7X9N2	positive	True	True	151	287	True	True	kept	both_sequences_available_within_max_length
168	O23320	Q84MD8	positive	True	True	151	379	True	True	kept	both_sequences_available_within_max_length
169	O23320	Q84WC8	positive	True	True	151	374	True	True	kept	both_sequences_available_within_max_length
170	O23320	Q8GY11	positive	True	True	151	109	True	True	kept	both_sequences_available_within_max_length
171	O23320	Q8GY88	positive	True	True	151	300	True	True	kept	both_sequences_available_within_max_length
172	O23320	Q8GYF5	positive	True	True	151	622	True	True	kept	both_sequences_available_within_max_length
173	O23320	Q8GZ99	positive	True	True	151	953	True	True	kept	both_sequences_available_within_max_length
174	O23320	Q8H1D6	positive	True	True	151	467	True	True	kept	both_sequences_available_within_max_length
175	O23320	Q8LE56	positive	True	False	151		True	False	removed	sequence_missing_B
176	O23320	Q8LG64	positive	True	False	151		True	False	removed	sequence_missing_B
177	O23320	Q8LPR4	positive	True	False	151		True	False	removed	sequence_missing_B
178	O23320	Q8RWQ8	positive	True	False	151		True	False	removed	sequence_missing_B
179	O23320	Q93XM6	positive	True	True	151	481	True	True	kept	both_sequences_available_within_max_length
180	O23320	Q93Z27	positive	True	True	151	204	True	True	kept	both_sequences_available_within_max_length
181	O23320	Q93Z30	positive	True	True	151	459	True	True	kept	both_sequences_available_within_max_length
182	O23320	Q9C960	positive	True	True	151	191	True	True	kept	both_sequences_available_within_max_length
183	O23320	Q9FGX2	positive	True	True	151	145	True	True	kept	both_sequences_available_within_max_length
184	O23320	Q9FGZ5	positive	True	True	151	285	True	True	kept	both_sequences_available_within_max_length
185	O23320	Q9FIW6	positive	True	True	151	329	True	True	kept	both_sequences_available_within_max_length
186	O23320	Q9FJK3	positive	True	True	151	321	True	True	kept	both_sequences_available_within_max_length
187	O23320	Q9FKR2	positive	True	True	151	426	True	True	kept	both_sequences_available_within_max_length
188	O23320	Q9FM43	positive	True	True	151	353	True	True	kept	both_sequences_available_within_max_length
189	O23320	Q9FMC2	positive	True	True	151	165	True	True	kept	both_sequences_available_within_max_length
190	O23320	Q9LDI3	positive	True	True	151	446	True	True	kept	both_sequences_available_within_max_length
191	O23320	Q9LEZ2	positive	True	False	151		True	False	removed	sequence_missing_B
192	O23320	Q9LFU3	positive	True	True	151	186	True	True	kept	both_sequences_available_within_max_length
193	O23320	Q9LHI7	positive	True	True	151	571	True	True	kept	both_sequences_available_within_max_length
194	O23320	Q9LJY7	positive	True	True	151	510	True	True	kept	both_sequences_available_within_max_length
195	O23320	Q9LKA4	positive	True	True	151	404	True	True	kept	both_sequences_available_within_max_length
196	O23320	Q9LQ65	positive	True	True	151	148	True	True	kept	both_sequences_available_within_max_length
197	O23320	Q9LSI9	positive	True	True	151	605	True	True	kept	both_sequences_available_within_max_length
198	O23320	Q9LV04	positive	True	True	151	670	True	True	kept	both_sequences_available_within_max_length
199	O23320	Q9LW66	positive	True	True	151	568	True	True	kept	both_sequences_available_within_max_length
200	O23320	Q9LX56	positive	True	True	151	475	True	True	kept	both_sequences_available_within_max_length
201	O23320	Q9LYL6	positive	True	True	151	446	True	True	kept	both_sequences_available_within_max_length
202	O23320	Q9LZV7	positive	True	True	151	967	True	True	kept	both_sequences_available_within_max_length
203	O23320	Q9M2K4	positive	True	True	151	329	True	True	kept	both_sequences_available_within_max_length
204	O23320	Q9M5K2	positive	True	True	151	507	True	True	kept	both_sequences_available_within_max_length
205	O23320	Q9M7Q2	positive	True	True	151	431	True	True	kept	both_sequences_available_within_max_length
206	O23320	Q9MAB4	positive	True	True	151	593	True	True	kept	both_sequences_available_within_max_length
207	O23320	Q9SGN7	positive	True	True	151	470	True	True	kept	both_sequences_available_within_max_length
208	O23320	Q9SJX8	positive	True	True	151	249	True	True	kept	both_sequences_available_within_max_length
209	O23320	Q9SKN2	positive	True	True	151	434	True	True	kept	both_sequences_available_within_max_length
210	O23320	Q9SND6	positive	True	True	151	342	True	True	kept	both_sequences_available_within_max_length
211	O23320	Q9SSF8	positive	True	True	151	541	True	True	kept	both_sequences_available_within_max_length
212	O23320	Q9SUP6	positive	True	True	151	324	True	True	kept	both_sequences_available_within_max_length
213	O23320	Q9SYB9	positive	True	True	151	404	True	True	kept	both_sequences_available_within_max_length
214	O23320	Q9SYP2	positive	True	True	151	614	True	True	kept	both_sequences_available_within_max_length
215	O23320	Q9SYS3	positive	True	True	151	654	True	True	kept	both_sequences_available_within_max_length
216	O23320	Q9SZ03	positive	True	True	151	495	True	True	kept	both_sequences_available_within_max_length
217	O23320	Q9ZPE4	positive	True	True	151	317	True	True	kept	both_sequences_available_within_max_length
218	O23320	Q9ZVM9	positive	True	True	151	572	True	True	kept	both_sequences_available_within_max_length
219	O23346	O23346	positive	True	True	272	272	True	True	kept	both_sequences_available_within_max_length
220	O23403	Q9SV55	positive	True	True	287	425	True	True	kept	both_sequences_available_within_max_length
221	O23552	P25071	positive	False	True		324	False	True	removed	sequence_missing_A
222	O23552	P25854	positive	False	False			False	False	removed	sequence_missing_A_and_B
223	O23552	P30187	positive	False	True		191	False	True	removed	sequence_missing_A
224	O23552	P59220	positive	False	True		149	False	True	removed	sequence_missing_A
225	O23552	Q03509	positive	False	True		149	False	True	removed	sequence_missing_A
226	O23552	Q9S744	positive	False	True		151	False	True	removed	sequence_missing_A
227	O23674	Q500U8	positive	True	True	395	326	True	True	kept	both_sequences_available_within_max_length
228	O23674	Q9LQ12	positive	True	True	395	542	True	True	kept	both_sequences_available_within_max_length
229	O23680	O23680	positive	True	True	297	297	True	True	kept	both_sequences_available_within_max_length
230	O23680	O81283	positive	True	True	297	1503	True	False	removed	sequence_B_exceeds_max_length
231	O24409	Q9SN12	positive	True	True	197	301	True	True	kept	both_sequences_available_within_max_length
232	O24606	Q8W4J8	positive	True	True	628	267	True	True	kept	both_sequences_available_within_max_length
233	O24606	Q9FML2	positive	True	True	628	471	True	True	kept	both_sequences_available_within_max_length
234	O24606	Q9LMA8	positive	True	True	628	253	True	True	kept	both_sequences_available_within_max_length
235	O24606	Q9LVI4	positive	True	True	628	352	True	True	kept	both_sequences_available_within_max_length
236	O24646	P43254	positive	True	True	168	675	True	True	kept	both_sequences_available_within_max_length
237	O24646	Q9LQZ7	positive	True	True	168	331	True	True	kept	both_sequences_available_within_max_length
238	O48661	Q94BN2	positive	True	True	340	359	True	True	kept	both_sequences_available_within_max_length
239	O48661	Q9ZUB3	positive	True	True	340	334	True	True	kept	both_sequences_available_within_max_length
240	O48726	Q9SII8	positive	True	True	300	551	True	True	kept	both_sequences_available_within_max_length
241	O48788	P25854	positive	True	False	658		True	False	removed	sequence_missing_B
242	O48788	P59220	positive	True	True	658	149	True	True	kept	both_sequences_available_within_max_length
243	O48963	O48963	positive	True	True	996	996	True	True	kept	both_sequences_available_within_max_length
244	O48963	Q9SWI1	positive	True	True	996	439	True	True	kept	both_sequences_available_within_max_length
245	O49160	Q9C5Z3	positive	True	True	900	441	True	True	kept	both_sequences_available_within_max_length
246	O49396	P25071	positive	True	True	512	324	True	True	kept	both_sequences_available_within_max_length
247	O49413	Q9LN63	positive	True	True	406	335	True	True	kept	both_sequences_available_within_max_length
248	O49552	Q8LGH4	positive	True	False	1088		False	False	removed	sequence_missing_B
249	O49686	O49686	positive	True	True	191	191	True	True	kept	both_sequences_available_within_max_length
250	O49686	P49597	positive	True	True	191	434	True	True	kept	both_sequences_available_within_max_length
251	O49686	Q9CAJ0	positive	True	True	191	511	True	True	kept	both_sequences_available_within_max_length
252	O49687	Q8LBM2	positive	True	True	589	131	True	True	kept	both_sequences_available_within_max_length
253	O49687	Q8W4J8	positive	True	True	589	267	True	True	kept	both_sequences_available_within_max_length
254	O49687	Q9C5K8	positive	True	True	589	187	True	True	kept	both_sequences_available_within_max_length
255	O49839	P25854	positive	True	False	426		True	False	removed	sequence_missing_B
256	O49839	P30187	positive	True	True	426	191	True	True	kept	both_sequences_available_within_max_length
257	O49839	P59220	positive	True	True	426	149	True	True	kept	both_sequences_available_within_max_length
258	O49839	Q03509	positive	True	True	426	149	True	True	kept	both_sequences_available_within_max_length
259	O49839	Q9S744	positive	True	True	426	151	True	True	kept	both_sequences_available_within_max_length
260	O49840	P25854	positive	True	False	426		True	False	removed	sequence_missing_B
261	O49840	Q9S744	positive	True	True	426	151	True	True	kept	both_sequences_available_within_max_length
262	O50055	Q9SYX2	positive	True	True	355	1029	True	False	removed	sequence_B_exceeds_max_length
263	O64471	Q9LHE5	positive	True	True	315	309	True	True	kept	both_sequences_available_within_max_length
264	O64682	Q9C6B8	positive	True	True	438	622	True	True	kept	both_sequences_available_within_max_length
265	O64816	O64816	positive	True	True	432	432	True	True	kept	both_sequences_available_within_max_length
266	O64817	P25071	positive	True	True	333	324	True	True	kept	both_sequences_available_within_max_length
267	O64817	P25854	positive	True	False	333		True	False	removed	sequence_missing_B
268	O64817	P30187	positive	True	True	333	191	True	True	kept	both_sequences_available_within_max_length
269	O64817	P59220	positive	True	True	333	149	True	True	kept	both_sequences_available_within_max_length
270	O64817	Q03509	positive	True	True	333	149	True	True	kept	both_sequences_available_within_max_length
271	O64817	Q9S744	positive	True	True	333	151	True	True	kept	both_sequences_available_within_max_length
272	O64903	Q9LDI3	positive	True	True	231	446	True	True	kept	both_sequences_available_within_max_length
273	O65154	O65155	positive	True	True	107	165	True	True	kept	both_sequences_available_within_max_length
274	O65373	P22953	positive	True	True	215	651	True	True	kept	both_sequences_available_within_max_length
275	O65469	P25071	positive	True	True	265	324	True	True	kept	both_sequences_available_within_max_length
276	O65469	P25854	positive	True	False	265		True	False	removed	sequence_missing_B
277	O65469	P30187	positive	True	True	265	191	True	True	kept	both_sequences_available_within_max_length
278	O65469	P59220	positive	True	True	265	149	True	True	kept	both_sequences_available_within_max_length
279	O65469	Q03509	positive	True	True	265	149	True	True	kept	both_sequences_available_within_max_length
280	O65469	Q9S744	positive	True	True	265	151	True	True	kept	both_sequences_available_within_max_length
281	O65554	P25854	positive	True	False	441		True	False	removed	sequence_missing_B
282	O65554	P30187	positive	True	True	441	191	True	True	kept	both_sequences_available_within_max_length
283	O65554	P59220	positive	True	True	441	149	True	True	kept	both_sequences_available_within_max_length
284	O65554	Q03509	positive	True	True	441	149	True	True	kept	both_sequences_available_within_max_length
285	O65554	Q9S744	positive	True	True	441	151	True	True	kept	both_sequences_available_within_max_length
286	O65665	Q8L765	positive	True	True	272	407	True	True	kept	both_sequences_available_within_max_length
287	O80365	Q67XQ1	positive	True	True	225	157	True	True	kept	both_sequences_available_within_max_length
288	O80366	Q67XQ1	positive	True	True	234	157	True	True	kept	both_sequences_available_within_max_length
289	O80452	Q9C5U0	positive	True	True	839	1080	True	False	removed	sequence_B_exceeds_max_length
290	O80480	Q058P7	positive	True	True	538	445	True	True	kept	both_sequences_available_within_max_length
291	O80513	P24100	positive	True	True	202	294	True	True	kept	both_sequences_available_within_max_length
292	O80536	O80536	positive	True	True	524	524	True	True	kept	both_sequences_available_within_max_length
293	O80536	P14712	positive	True	True	524	1122	True	False	removed	sequence_B_exceeds_max_length
294	O80536	P14713	positive	True	True	524	1172	True	False	removed	sequence_B_exceeds_max_length
295	O80536	Q8GZM7	positive	True	True	524	478	True	True	kept	both_sequences_available_within_max_length
296	O80536	Q9SLH3	positive	True	True	524	587	True	True	kept	both_sequences_available_within_max_length
297	O80651	P25071	positive	True	True	260	324	True	True	kept	both_sequences_available_within_max_length
298	O80651	P25854	positive	True	False	260		True	False	removed	sequence_missing_B
299	O80651	P30187	positive	True	True	260	191	True	True	kept	both_sequences_available_within_max_length
300	O80651	P59220	positive	True	True	260	149	True	True	kept	both_sequences_available_within_max_length
301	O80651	Q03509	positive	True	True	260	149	True	True	kept	both_sequences_available_within_max_length
302	O80651	Q9S744	positive	True	True	260	151	True	True	kept	both_sequences_available_within_max_length
303	O80719	Q39023	positive	True	True	365	370	True	True	kept	both_sequences_available_within_max_length
304	O80719	Q39026	positive	True	True	365	395	True	True	kept	both_sequences_available_within_max_length
305	O80719	Q9LSF1	positive	True	True	365	421	True	True	kept	both_sequences_available_within_max_length
306	O80920	P49597	positive	True	True	207	434	True	True	kept	both_sequences_available_within_max_length
307	O80920	P49598	positive	True	True	207	399	True	True	kept	both_sequences_available_within_max_length
308	O80920	Q9CAJ0	positive	True	True	207	511	True	True	kept	both_sequences_available_within_max_length
309	O80920	Q9LMA8	positive	True	True	207	253	True	True	kept	both_sequences_available_within_max_length
310	O80931	Q8RY59	positive	True	False	367		True	False	removed	sequence_missing_B
311	O80982	O80982	positive	True	True	345	345	True	True	kept	both_sequences_available_within_max_length
312	O80992	O80992	positive	True	True	190	190	True	True	kept	both_sequences_available_within_max_length
313	O80992	P49597	positive	True	True	190	434	True	True	kept	both_sequences_available_within_max_length
314	O80992	Q9CAJ0	positive	True	True	190	511	True	True	kept	both_sequences_available_within_max_length
315	O81001	Q8L8A5	positive	True	True	530	210	True	True	kept	both_sequences_available_within_max_length
316	O81126	P51567	positive	True	True	200	427	True	True	kept	both_sequences_available_within_max_length
