uniprot_A	uniprot_B	locus_A	locus_B	label	interaction_type	miscore_max	n_evidences	methods
F4IAG2	F4IAG2	At1g11720	At1g11720	positive	MI:0407	0.56	4	MI:0047;MI:0096
F4IEM5	P18064	At1g52920	At2g26300	positive	MI:0407	0.63	5	MI:0007;MI:0107;MI:0112;MI:0809
F4IFC5	P82805	At2g04842	At5g40930	positive	MI:0407	0.44	1	MI:0077
F4IHS2	O22456	At2g28290	At1g24260	positive	MI:0407	0.53	2	MI:0096;MI:0809
F4IHS2	Q00958	At2g28290	At5g61850	positive	MI:0407	0.63	4	MI:0007;MI:0018;MI:0096;MI:0809
F4IIM1	O48946	At2g22125	At4g32410	positive	MI:0407	0.41	1	MI:0018
F4IIM1	Q941L0	At2g22125	At5g05170	positive	MI:0407	0.41	1	MI:0018
F4IIM1	Q94JQ6	At2g22125	At5g64740	positive	MI:0407	0.41	2	MI:0018
F4IIU4	Q9FHN8	At2g34680	At5g65930	positive	MI:0407	0.61	6	MI:0006;MI:0018;MI:0096;MI:0663
F4IS56	Q9S744	At2g43850	At3g51920	positive	MI:0407	0.44	1	MI:0089
F4IZC5	Q8H0X6	At3g56170	At3g12490	positive	MI:0407	0.58	3	MI:0018;MI:0096;MI:0809
F4J8D3	F4J8D3	At3g01780	At3g01780	positive	MI:0407	0.41	2	MI:0809
F4J8D3	O04209	At3g01780	At2g40060	positive	MI:0407	0.53	5	MI:0663;MI:0809
F4J8D3	Q0WLB5	At3g01780	At3g08530	positive	MI:0407	0.41	2	MI:0809
F4JS25	Q9FPR2	At4g37460	At4g37450	positive	MI:0407	0.44	1	MI:0096
F4K210	O49160	At5g61200	At3g56150	positive	MI:0407	0.69	4	MI:0006;MI:0018;MI:0096
F4K210	Q42347	At5g61200	At2g36620	positive	MI:0407	0.59	3	MI:0018;MI:0096
F4K210	Q9LD55	At5g61200	At4g11420	positive	MI:0407	0.54	2	MI:0006;MI:0096
F4K6B8	O23320	At5g56040	At4g14640	positive	MI:0407	0.44	1	MI:0089
F4K6B8	P25071	At5g56040	At2g41100	positive	MI:0407	0.44	1	MI:0089
F4K6B8	P30187	At5g56040	At2g41090	positive	MI:0407	0.44	1	MI:0089
F4K6B8	P59220	At5g56040	At3g43810	positive	MI:0407	0.44	1	MI:0089
F4K6B8	Q03509	At5g56040	At5g21274	positive	MI:0407	0.44	1	MI:0089
F4K6B8	Q9S744	At5g56040	At3g51920	positive	MI:0407	0.44	1	MI:0089
F4KBF5	F4KBF5	At5g23070	At5g23070	positive	MI:0407	0.44	1	MI:0071
F4KCL7	Q9LHE5	At5g09420	At3g20000	positive	MI:0407	0.53	2	MI:0006;MI:0018
O04027	Q9LX49	At1g09030	At3g59220	positive	MI:0407	0.53	2	MI:0018;MI:0096
O04197	Q39255	At2g39940	At1g75950	positive	MI:0407	0.89	11	MI:0006;MI:0007;MI:0018;MI:0069;MI:0071;MI:0096;MI:0114;MI:0397
O04197	Q8W4J8	At2g39940	At1g70700	positive	MI:0407	0.73	7	MI:0018;MI:0096
O04197	Q9LMA8	At2g39940	At1g19180	positive	MI:0407	0.87	10	MI:0018;MI:0096;MI:0114;MI:0676
O04197	Q9LVI4	At2g39940	At3g17860	positive	MI:0407	0.74	6	MI:0018;MI:0096
O04203	Q944A6	At2g40000	At1g09020	positive	MI:0407	0.78	11	MI:0004;MI:0007;MI:0018;MI:0809;MI:1314
O04209	O04209	At2g40060	At2g40060	positive	MI:0407	0.41	2	MI:0809
O04209	Q0WLB5	At2g40060	At3g08530	positive	MI:0407	0.41	3	MI:0809
O04292	Q9LEZ3	At1g30490	At5g08130	positive	MI:0407	0.65	5	MI:0007;MI:1356;MI:2277
O04292	Q9SAD4	At1g30490	At1g12980	positive	MI:0407	0.71	5	MI:0006;MI:0007;MI:0018;MI:0809
O04336	P59220	At2g30590	At3g43810	positive	MI:0407	0.44	1	MI:0089
O04492	O04492	At1g09700	At1g09700	positive	MI:0407	0.74	5	MI:0007;MI:0047;MI:0071;MI:0096;MI:0114
O04492	Q3EBC8	At1g09700	At3g03300	positive	MI:0407	0.44	2	MI:0047
O04492	Q8GY79	At1g09700	At5g41070	positive	MI:0407	0.75	7	MI:0047;MI:0397;MI:1112;MI:1356
O04492	Q9SP32	At1g09700	At1g01040	positive	MI:0407	0.67	3	MI:0007;MI:0047;MI:0096
O04567	P30187	At1g27190	At2g41090	positive	MI:0407	0.44	1	MI:0089
O04567	P59220	At1g27190	At3g43810	positive	MI:0407	0.44	1	MI:0089
O04567	Q03509	At1g27190	At5g21274	positive	MI:0407	0.44	1	MI:0089
O04567	Q9S744	At1g27190	At3g51920	positive	MI:0407	0.44	1	MI:0089
O04603	Q67XX3	At4g01310	At5g06550	positive	MI:0407	0.44	1	MI:0096
O04663	P38418	At5g35620	At3g45140	positive	MI:0407	0.68	7	MI:0004;MI:0006;MI:0007;MI:0018;MI:0588
O04663	Q9SMW7	At5g35620	At1g17880	positive	MI:0407	0.53	2	MI:0007;MI:0018
O04714	P18064	At1g48270	At2g26300	positive	MI:0407	0.72	6	MI:0006;MI:0007;MI:0112
O04719	Q84JG2	At5g57050	At2g33610	positive	MI:0407	0.51	2	MI:0018;MI:0809
O04719	Q84MC7	At5g57050	At1g01360	positive	MI:0407	0.74	7	MI:0018;MI:0065;MI:0397;MI:0588;MI:0809;MI:1112;MI:1356
O22042	Q03509	At3g06030	At5g21274	positive	MI:0407	0.44	1	MI:0089
O22179	O23320	At2g23290	At4g14640	positive	MI:0407	0.44	1	MI:0089
O22179	P25071	At2g23290	At2g41100	positive	MI:0407	0.44	1	MI:0089
O22179	P30187	At2g23290	At2g41090	positive	MI:0407	0.44	1	MI:0089
O22179	P59220	At2g23290	At3g43810	positive	MI:0407	0.44	1	MI:0089
O22179	Q03509	At2g23290	At5g21274	positive	MI:0407	0.44	1	MI:0089
O22179	Q9S744	At2g23290	At3g51920	positive	MI:0407	0.44	1	MI:0089
O22265	O22265	At2g47450	At2g47450	positive	MI:0407	0.75	5	MI:0018;MI:0071;MI:0096
O22265	P37107	At2g47450	At5g03940	positive	MI:0407	0.97	21	MI:0007;MI:0018;MI:0065;MI:0071;MI:0077;MI:0081;MI:0096;MI:0107;MI:0114;MI:0826
O22265	Q01667	At2g47450	At3g54890	positive	MI:0407	0.44	1	MI:0067
O22265	Q8LBP4	At2g47450	At2g28800	positive	MI:0407	0.71	10	MI:0007;MI:0018;MI:0096;MI:0809
O22265	Q9XF89	At2g47450	At4g10340	positive	MI:0407	0.44	1	MI:0067
O22267	Q05609	At2g47430	At5g03730	positive	MI:0407	0.44	1	MI:0096
O22286	Q8H1E4	At2g39760	At1g78080	positive	MI:0407	0.53	2	MI:0018;MI:0096
O22446	Q8GWF1	At4g38130	At5g22570	positive	MI:0407	0.53	2	MI:0007;MI:0809
O22446	Q9LZV6	At4g38130	At5g01900	positive	MI:0407	0.7	5	MI:0007;MI:0018;MI:0809
O22456	Q6EVK6	At1g24260	At2g46020	positive	MI:0407	0.53	2	MI:0096;MI:0809
O22456	Q8W234	At1g24260	At1g43850	positive	MI:0407	0.53	2	MI:0018;MI:0096
O22456	Q9FUY2	At1g24260	At4g32551	positive	MI:0407	0.44	1	MI:0096
O22467	Q9LKZ3	At5g58230	At3g12280	positive	MI:0407	0.54	2	MI:0096;MI:0809
O22476	Q94AG2	At4g39400	At1g71830	positive	MI:0407	0.75	7	MI:0006;MI:0007;MI:0071;MI:0114;MI:0276;MI:0416
O22607	O49552	At2g19520	At4g21100	positive	MI:0407	0.41	1	MI:0018
O22607	P93831	At2g19520	At2g23380	positive	MI:0407	0.58	3	MI:0007;MI:0018;MI:0809
O22607	Q9M0V3	At2g19520	At4g05420	positive	MI:0407	0.52	2	MI:0018;MI:0809
O22609	O22609	At3g27925	At3g27925	positive	MI:0407	0.56	2	MI:0071;MI:0114
O22763	O23320	At4g02640	At4g14640	positive	MI:0407	0.44	1	MI:0089
O22763	P25071	At4g02640	At2g41100	positive	MI:0407	0.44	1	MI:0089
O22763	P30187	At4g02640	At2g41090	positive	MI:0407	0.44	1	MI:0089
O22763	P59220	At4g02640	At3g43810	positive	MI:0407	0.44	1	MI:0089
O22763	Q03509	At4g02640	At5g21274	positive	MI:0407	0.44	1	MI:0089
O22763	Q9LZP8	At4g02640	At3g62420	positive	MI:0407	0.71	8	MI:0018;MI:0096;MI:0416
O22763	Q9S744	At4g02640	At3g51920	positive	MI:0407	0.44	1	MI:0089
O22971	Q8LAS7	At2g34180	At5g55990	positive	MI:0407	0.65	4	MI:0018;MI:0096
O23144	P20649	At4g27500	At2g18960	positive	MI:0407	0.67	7	MI:0018;MI:0047
O23145	O23320	At3g61160	At4g14640	positive	MI:0407	0.44	1	MI:0089
O23145	P25071	At3g61160	At2g41100	positive	MI:0407	0.44	1	MI:0089
O23145	P30187	At3g61160	At2g41090	positive	MI:0407	0.44	1	MI:0089
O23145	Q03509	At3g61160	At5g21274	positive	MI:0407	0.44	1	MI:0089
O23145	Q9S744	At3g61160	At3g51920	positive	MI:0407	0.44	1	MI:0089
O23171	Q9LFT6	At4g37150	At5g10300	positive	MI:0407	0.53	3	MI:0096;MI:0397
O23320	O48814	At4g14640	At2g39660	positive	MI:0407	0.44	1	MI:0089
O23320	O64817	At4g14640	At2g23080	positive	MI:0407	0.44	1	MI:0089
O23320	O65469	At4g14640	At4g23170	positive	MI:0407	0.44	1	MI:0089
O23320	O80651	At4g14640	At1g77145	positive	MI:0407	0.44	1	MI:0089
O23320	O81292	At4g14640	At4g02410	positive	MI:0407	0.44	1	MI:0089
O23320	P27450	At4g14640	At4g35600	positive	MI:0407	0.44	1	MI:0089
O23320	P29383	At4g14640	At2g03710	positive	MI:0407	0.44	1	MI:0089
O23320	P43294	At4g14640	At4g13020	positive	MI:0407	0.44	1	MI:0089
O23320	P55737	At4g14640	At5g56030	positive	MI:0407	0.44	1	MI:0089
O23320	P93050	At4g14640	At2g48010	positive	MI:0407	0.44	1	MI:0089
O23320	Q2V359	At4g14640	At5g20810	positive	MI:0407	0.44	1	MI:0089
O23320	Q38876	At4g14640	At5g60910	positive	MI:0407	0.44	1	MI:0089
O23320	Q39010	At4g14640	At2g30980	positive	MI:0407	0.44	1	MI:0089
O23320	Q39050	At4g14640	At4g14340	positive	MI:0407	0.44	1	MI:0089
O23320	Q42479	At4g14640	At4g23650	positive	MI:0407	0.44	1	MI:0089
O23320	Q4PSU4	At4g14640	At2g24840	positive	MI:0407	0.44	1	MI:0089
O23320	Q5XXJ3	At4g14640	At3g58780	positive	MI:0407	0.44	1	MI:0089
O23320	Q70E96	At4g14640	At4g36250	positive	MI:0407	0.44	1	MI:0089
O23320	Q7X9N2	At4g14640	At5g27070	positive	MI:0407	0.44	1	MI:0089
O23320	Q84MD8	At4g14640	At4g21470	positive	MI:0407	0.44	1	MI:0089
O23320	Q84WC8	At4g14640		positive	MI:0407	0.44	1	MI:0089
O23320	Q8GY11	At4g14640	At2g46130	positive	MI:0407	0.44	1	MI:0089
O23320	Q8GY88	At4g14640	At4g39540	positive	MI:0407	0.44	1	MI:0089
O23320	Q8GYF5	At4g14640	At5g66790	positive	MI:0407	0.44	1	MI:0089
O23320	Q8GZ99	At4g14640	At5g49760	positive	MI:0407	0.44	1	MI:0089
O23320	Q8H1D6	At4g14640	At5g10520	positive	MI:0407	0.44	1	MI:0089
O23320	Q93XM6	At4g14640	At1g08320	positive	MI:0407	0.44	1	MI:0089
O23320	Q93Z27	At4g14640	At5g39670	positive	MI:0407	0.44	1	MI:0089
O23320	Q93Z30	At4g14640	At4g18950	positive	MI:0407	0.44	1	MI:0089
O23320	Q9C960	At4g14640	At1g60920	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FGX2	At4g14640	At5g49450	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FGZ5	At4g14640	At5g49490	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FIW6	At4g14640	At5g39810	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FJK3	At4g14640	At5g48670	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FKR2	At4g14640	At5g38740	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FM43	At4g14640	At5g40540	positive	MI:0407	0.44	1	MI:0089
O23320	Q9FMC2	At4g14640	At5g38800	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LDI3	At4g14640	At5g35410	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LFU3	At4g14640	At5g15830/F14F8_210	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LHI7	At4g14640	At3g12200	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LJY7	At4g14640	At3g20110	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LKA4	At4g14640	At3g15010	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LQ65	At4g14640	At1g59530	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LSI9	At4g14640	At3g28450	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LV04	At4g14640	At5g53450	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LW66	At4g14640	At3g23310	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LX56	At4g14640	At3g59150	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LYL6	At4g14640	At3g56270	positive	MI:0407	0.44	1	MI:0089
O23320	Q9LZV7	At4g14640	At5g01890	positive	MI:0407	0.44	1	MI:0089
O23320	Q9M2K4	At4g14640	At3g58120	positive	MI:0407	0.44	1	MI:0089
O23320	Q9M5K2	At4g14640	At3g17240	positive	MI:0407	0.44	1	MI:0089
O23320	Q9M7Q2	At4g14640	At3g19290	positive	MI:0407	0.44	1	MI:0089
O23320	Q9MAB4	At4g14640	At3g05050	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SGN7	At4g14640	At1g28390	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SJX8	At4g14640	At2g31180	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SKN2	At4g14640	At2g28380	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SND6	At4g14640	At3g50310	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SSF8	At4g14640	At1g74740	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SUP6	At4g14640	At4g23810	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SYB9	At4g14640	At1g51170	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SYP2	At4g14640	At1g20950	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SYS3	At4g14640	At4g04570	positive	MI:0407	0.44	1	MI:0089
O23320	Q9SZ03	At4g14640	At4g34380/F10M10_150	positive	MI:0407	0.44	1	MI:0089
O23320	Q9ZPE4	At4g14640	At4g08980	positive	MI:0407	0.44	1	MI:0089
O23320	Q9ZVM9	At4g14640	At1g54610	positive	MI:0407	0.44	1	MI:0089
O23346	O23346	At4g14910	At4g14910	positive	MI:0407	0.44	1	MI:0114
O23403	Q9SV55	At4g15510	At4g28910	positive	MI:0407	0.41	1	MI:0018
O23674	Q500U8	At1g02050	At4g35420	positive	MI:0407	0.51	2	MI:0055;MI:0096
O23674	Q9LQ12	At1g02050	At1g62940	positive	MI:0407	0.51	3	MI:0055;MI:0096
O23680	O23680	At1g02280	At1g02280	positive	MI:0407	0.56	4	MI:0096;MI:0276
O23680	O81283	At1g02280	At4g02510	positive	MI:0407	0.44	1	MI:0096
O24409	Q9SN12	At3g15540	At3g50060	positive	MI:0407	0.53	3	MI:0096;MI:0809
O24606	Q8W4J8	At3g20770	At1g70700	positive	MI:0407	0.41	1	MI:0018
O24606	Q9FML2	At3g20770	At5g63110	positive	MI:0407	0.53	2	MI:0007;MI:0018
O24606	Q9LMA8	At3g20770	At1g19180	positive	MI:0407	0.63	4	MI:0007;MI:0018;MI:0096;MI:0809
O24606	Q9LVI4	At3g20770	At3g17860	positive	MI:0407	0.41	1	MI:0018
O24646	P43254	At5g11260	At2g32950	positive	MI:0407	0.82	8	MI:0018;MI:0096
O24646	Q9LQZ7	At5g11260	At1g75540	positive	MI:0407	0.68	4	MI:0018;MI:0055;MI:1356;MI:2277
O48661	Q94BN2	At1g70310	At5g53120	positive	MI:0407	0.53	4	MI:0018;MI:0096
O48661	Q9ZUB3	At1g70310	At1g23820	positive	MI:0407	0.63	7	MI:0007;MI:0018;MI:0071;MI:0096
O48726	Q9SII8	At2g26590	At2g17200	positive	MI:0407	0.44	5	MI:0096
O48788	P59220	At2g26730	At3g43810	positive	MI:0407	0.59	2	MI:0089;MI:0809
O48963	O48963	At3g45780	At3g45780	positive	MI:0407	0.62	5	MI:0030;MI:0424
O48963	Q9SWI1	At3g45780	At2g02950	positive	MI:0407	0.52	3	MI:0007;MI:0096
O49160	Q9C5Z3	At3g56150	At3g57290	positive	MI:0407	0.59	3	MI:0006;MI:0018;MI:0096
O49396	P25071	At4g31950	At2g41100	positive	MI:0407	0.44	1	MI:0089
O49413	Q9LN63	At4g19000	At1g19350	positive	MI:0407	0.6	3	MI:0018;MI:0096;MI:0809
O49686	O49686	At4g17870	At4g17870	positive	MI:0407	0.77	8	MI:0065;MI:0067;MI:0071;MI:0077;MI:0114;MI:0826
O49686	P49597	At4g17870	At4g26080	positive	MI:0407	0.89	12	MI:0004;MI:0007;MI:0018;MI:0096;MI:0397;MI:0905;MI:1112;MI:1356
O49686	Q9CAJ0	At4g17870	At1g72770	positive	MI:0407	0.97	17	MI:0007;MI:0018;MI:0067;MI:0071;MI:0096;MI:0114;MI:0397;MI:0905;MI:1112;MI:1356
O49687	Q8LBM2	At4g17880	At1g30135	positive	MI:0407	0.68	4	MI:0397;MI:0905;MI:1112;MI:1356
O49687	Q8W4J8	At4g17880	At1g70700	positive	MI:0407	0.73	8	MI:0007;MI:0018;MI:0397;MI:0905;MI:1112;MI:1356
O49687	Q9C5K8	At4g17880	At5g20900	positive	MI:0407	0.68	4	MI:0397;MI:0905;MI:1112;MI:1356
O49839	P30187	At1g14370	At2g41090	positive	MI:0407	0.44	1	MI:0089
O49839	P59220	At1g14370	At3g43810	positive	MI:0407	0.44	1	MI:0089
O49839	Q03509	At1g14370	At5g21274	positive	MI:0407	0.44	1	MI:0089
O49839	Q9S744	At1g14370	At3g51920	positive	MI:0407	0.44	1	MI:0089
O49840	Q9S744	At2g02800	At3g51920	positive	MI:0407	0.44	1	MI:0089
O50055	Q9SYX2	At5g15850	At2g46340/At2g46350	positive	MI:0407	0.75	10	MI:0006;MI:0007;MI:0055;MI:0071;MI:0663
O64471	Q9LHE5	At2g19080	At3g20000	positive	MI:0407	0.53	2	MI:0006;MI:0018
O64682	Q9C6B8	At2g34650	At1g73590	positive	MI:0407	0.62	2	MI:0424
O64816	O64816	At2g23070	At2g23070	positive	MI:0407	0.44	1	MI:0807
O64817	P25071	At2g23080	At2g41100	positive	MI:0407	0.44	1	MI:0089
O64817	P30187	At2g23080	At2g41090	positive	MI:0407	0.44	1	MI:0089
O64817	P59220	At2g23080	At3g43810	positive	MI:0407	0.44	1	MI:0089
O64817	Q03509	At2g23080	At5g21274	positive	MI:0407	0.44	1	MI:0089
O64817	Q9S744	At2g23080	At3g51920	positive	MI:0407	0.44	1	MI:0089
O64903	Q9LDI3	At5g63310	At5g35410	positive	MI:0407	0.53	3	MI:0018;MI:0096
O65154	O65155	At5g09250	At4g10920	positive	MI:0407	0.71	9	MI:0006;MI:0018;MI:0096;MI:1356;MI:2277
O65373	P22953	At1g12060	At5g02500	positive	MI:0407	0.44	1	MI:0047
O65469	P25071	At4g23170	At2g41100	positive	MI:0407	0.44	1	MI:0089
O65469	P30187	At4g23170	At2g41090	positive	MI:0407	0.44	1	MI:0089
O65469	P59220	At4g23170	At3g43810	positive	MI:0407	0.44	1	MI:0089
O65469	Q03509	At4g23170	At5g21274	positive	MI:0407	0.44	1	MI:0089
O65469	Q9S744	At4g23170	At3g51920	positive	MI:0407	0.44	1	MI:0089
O65554	P30187	At4g30960	At2g41090	positive	MI:0407	0.44	1	MI:0089
O65554	P59220	At4g30960	At3g43810	positive	MI:0407	0.44	1	MI:0089
O65554	Q03509	At4g30960	At5g21274	positive	MI:0407	0.44	1	MI:0089
O65554	Q9S744	At4g30960	At3g51920	positive	MI:0407	0.44	1	MI:0089
O65665	Q8L765	At4g39780	At5g19000	positive	MI:0407	0.68	4	MI:0096;MI:0397;MI:1112;MI:1356
O80365	Q67XQ1	At2g41310	At1g03430	positive	MI:0407	0.53	3	MI:0018;MI:0096
O80366	Q67XQ1	At3g57040	At1g03430	positive	MI:0407	0.53	3	MI:0018;MI:0096
O80452	Q9C5U0	At2g38280	At2g01830	positive	MI:0407	0.53	2	MI:0018;MI:0096
O80480	Q058P7	At1g09270		positive	MI:0407	0.53	2	MI:0096;MI:0397
O80513	P24100	At2g44740	At3g48750	positive	MI:0407	0.53	2	MI:0007;MI:0018
O80536	O80536	At1g09530	At1g09530	positive	MI:0407	0.69	3	MI:0007;MI:0018
O80536	P14712	At1g09530	At1g09570	positive	MI:0407	0.92	8	MI:0007;MI:0018;MI:0096;MI:0416
O80536	P14713	At1g09530	At2g18790	positive	MI:0407	0.97	22	MI:0007;MI:0018;MI:0065;MI:0071;MI:0096;MI:0226;MI:0416
O80536	Q8GZM7	At1g09530	At2g20180	positive	MI:0407	0.59	6	MI:0007;MI:0018
O80536	Q9SLH3	At1g09530	At2g01570	positive	MI:0407	0.74	6	MI:0006;MI:0018;MI:0096;MI:0809
O80651	P25071	At1g77145	At2g41100	positive	MI:0407	0.44	1	MI:0089
O80651	P30187	At1g77145	At2g41090	positive	MI:0407	0.44	1	MI:0089
O80651	P59220	At1g77145	At3g43810	positive	MI:0407	0.44	1	MI:0089
O80651	Q03509	At1g77145	At5g21274	positive	MI:0407	0.44	1	MI:0089
O80651	Q9S744	At1g77145	At3g51920	positive	MI:0407	0.44	1	MI:0089
O80719	Q39023	At2g47060	At3g45640	positive	MI:0407	0.56	2	MI:0096;MI:0424
O80719	Q39026	At2g47060	At2g43790	positive	MI:0407	0.61	3	MI:0007;MI:0096;MI:0424
O80719	Q9LSF1	At2g47060	At3g25250	positive	MI:0407	0.61	4	MI:0007;MI:0096;MI:0424
O80920	P49597	At2g38310	At4g26080	positive	MI:0407	0.9	9	MI:0004;MI:0018;MI:0397;MI:0905;MI:1112;MI:1356
O80920	P49598	At2g38310	At3g11410	positive	MI:0407	0.75	5	MI:0018;MI:0397;MI:1112;MI:1356
O80920	Q9CAJ0	At2g38310	At1g72770	positive	MI:0407	0.9	8	MI:0018;MI:0397;MI:0905;MI:1112;MI:1356
O80920	Q9LMA8	At2g38310	At1g19180	positive	MI:0407	0.53	3	MI:0018;MI:0096
O80982	O80982	At2g26150	At2g26150	positive	MI:0407	0.44	1	MI:0030
O80992	O80992	At2g26040	At2g26040	positive	MI:0407	0.72	4	MI:0028;MI:0071;MI:0114
O80992	P49597	At2g26040	At4g26080	positive	MI:0407	0.82	6	MI:0096;MI:0397;MI:0905;MI:1112;MI:1356
O80992	Q9CAJ0	At2g26040	At1g72770	positive	MI:0407	0.9	10	MI:0018;MI:0071;MI:0114;MI:0397;MI:0905;MI:0944;MI:1112;MI:1356
O81001	Q8L8A5	At2g22840	At5g28640	positive	MI:0407	0.68	6	MI:0018;MI:0096;MI:1356;MI:2277
O81126	P51567	At4g31580	At4g24740	positive	MI:0407	0.44	1	MI:0096
O81127	Q42404	At1g23860	At3g50670	positive	MI:0407	0.65	4	MI:0018;MI:0047
O81223	Q9LDI3	At5g24270	At5g35410	positive	MI:0407	0.91	10	MI:0018;MI:0047;MI:0049;MI:0096;MI:0809
O81275	P92973	At3g60250	At2g46830	positive	MI:0407	0.77	6	MI:0018;MI:0096;MI:0424
O81275	Q6R0H1	At3g60250	At1g01060	positive	MI:0407	0.44	1	MI:0096
O81283	Q38906	At4g02510	At5g05000	positive	MI:0407	0.59	5	MI:0006;MI:0028;MI:0096
O81292	P25071	At4g02410	At2g41100	positive	MI:0407	0.44	1	MI:0089
O81292	P30187	At4g02410	At2g41090	positive	MI:0407	0.44	1	MI:0089
O81292	P59220	At4g02410	At3g43810	positive	MI:0407	0.44	1	MI:0089
O81292	Q03509	At4g02410	At5g21274	positive	MI:0407	0.44	1	MI:0089
O81292	Q9S744	At4g02410	At3g51920	positive	MI:0407	0.44	1	MI:0089
