protein_id	sequence_length	status	reason
F4K128	1064	excluded_length	sequence_exceeds_max_length
F4K1J1	453	eligible	within_max_length
F4K1U5	199	eligible	within_max_length
F4K210	389	eligible	within_max_length
F4K3G5	1297	excluded_length	sequence_exceeds_max_length
F4K5S0	1658	excluded_length	sequence_exceeds_max_length
F4K5X6	287	eligible	within_max_length
F4K6B8	1090	excluded_length	sequence_exceeds_max_length
F4K8Y6	683	eligible	within_max_length
F4K964	789	eligible	within_max_length
F4K9W6	493	eligible	within_max_length
F4KAS3	326	eligible	within_max_length
F4KBF5	282	eligible	within_max_length
F4KCH7	591	eligible	within_max_length
F4KCL7	603	eligible	within_max_length
F4KD38	1161	excluded_length	sequence_exceeds_max_length
F4KG64	761	eligible	within_max_length
F4KGE8	559	eligible	within_max_length
F4KGY6	387	eligible	within_max_length
F4KIB2	648	eligible	within_max_length
F4KIJ2	1040	excluded_length	sequence_exceeds_max_length
O04005	216	eligible	within_max_length
O04019	423	eligible	within_max_length
O04027	139	eligible	within_max_length
O04034	546	eligible	within_max_length
O04036	496	eligible	within_max_length
O04173	134	eligible	within_max_length
O04197	592	eligible	within_max_length
O04203	435	eligible	within_max_length
O04204	317	eligible	within_max_length
O04209	258	eligible	within_max_length
O04265	347	eligible	within_max_length
O04291	852	eligible	within_max_length
O04292	841	eligible	within_max_length
O04294	531	eligible	within_max_length
O04309	451	eligible	within_max_length
O04314	298	eligible	within_max_length
O04316	619	eligible	within_max_length
O04331	277	eligible	within_max_length
O04336	380	eligible	within_max_length
O04351	320	eligible	within_max_length
O04450	535	eligible	within_max_length
O04492	419	eligible	within_max_length
O04539	1326	excluded_length	sequence_exceeds_max_length
O04551	308	eligible	within_max_length
O04567	601	eligible	within_max_length
O04603	262	eligible	within_max_length
O04632	126	eligible	within_max_length
O04656	450	eligible	within_max_length
O04663	198	eligible	within_max_length
O04714	326	eligible	within_max_length
O04719	423	eligible	within_max_length
O04848	142	eligible	within_max_length
O04905	202	eligible	within_max_length
O04951	307	eligible	within_max_length
O22042	651	eligible	within_max_length
O22059	94	eligible	within_max_length
O22176	317	eligible	within_max_length
O22178	773	eligible	within_max_length
O22179	309	eligible	within_max_length
O22211	431	eligible	within_max_length
O22224	861	eligible	within_max_length
O22229	529	eligible	within_max_length
O22264	371	eligible	within_max_length
O22265	373	eligible	within_max_length
O22267	1122	excluded_length	sequence_exceeds_max_length
O22285	694	eligible	within_max_length
O22286	408	eligible	within_max_length
O22446	501	eligible	within_max_length
O22456	251	eligible	within_max_length
O22467	424	eligible	within_max_length
O22476	1196	excluded_length	sequence_exceeds_max_length
O22527	324	eligible	within_max_length
O22558	546	eligible	within_max_length
O22588	267	eligible	within_max_length
O22607	507	eligible	within_max_length
O22609	439	eligible	within_max_length
O22622	115	eligible	within_max_length
O22704	121	eligible	within_max_length
O22714	491	eligible	within_max_length
O22759	402	eligible	within_max_length
O22763	411	eligible	within_max_length
O22768	310	eligible	within_max_length
O22769	255	eligible	within_max_length
O22798	268	eligible	within_max_length
O22815	501	eligible	within_max_length
O22823	91	eligible	within_max_length
O22845	215	eligible	within_max_length
O22860	69	eligible	within_max_length
O22890	209	eligible	within_max_length
O22900	337	eligible	within_max_length
O22914	124	eligible	within_max_length
O22932	435	eligible	within_max_length
O22958	248	eligible	within_max_length
O22971	502	eligible	within_max_length
O22985	332	eligible	within_max_length
O23063	364	eligible	within_max_length
O23078	927	eligible	within_max_length
O23087	1054	excluded_length	sequence_exceeds_max_length
O23120	144	eligible	within_max_length
O23144	612	eligible	within_max_length
O23145	431	eligible	within_max_length
O23167	562	eligible	within_max_length
O23171	256	eligible	within_max_length
O23210	486	eligible	within_max_length
O23236	361	eligible	within_max_length
O23263	111	eligible	within_max_length
O23264	490	eligible	within_max_length
O23290	105	eligible	within_max_length
O23298	158	eligible	within_max_length
O23320	151	eligible	within_max_length
O23338	152	eligible	within_max_length
O23342	177	eligible	within_max_length
O23346	272	eligible	within_max_length
O23379	330	eligible	within_max_length
O23403	287	eligible	within_max_length
O23504	204	eligible	within_max_length
O23530	1437	excluded_length	sequence_exceeds_max_length
O23628	136	eligible	within_max_length
O23659	326	eligible	within_max_length
O23661	608	eligible	within_max_length
O23674	395	eligible	within_max_length
O23680	297	eligible	within_max_length
O23693	573	eligible	within_max_length
O23694	166	eligible	within_max_length
O23712	277	eligible	within_max_length
O23715	249	eligible	within_max_length
O23913	325	eligible	within_max_length
O24409	197	eligible	within_max_length
O24412	308	eligible	within_max_length
O24606	628	eligible	within_max_length
O24646	168	eligible	within_max_length
O48533	259	eligible	within_max_length
O48538	944	eligible	within_max_length
O48661	340	eligible	within_max_length
O48686	1330	excluded_length	sequence_exceeds_max_length
O48707	199	eligible	within_max_length
O48726	300	eligible	within_max_length
O48741	401	eligible	within_max_length
O48788	658	eligible	within_max_length
O48790	387	eligible	within_max_length
O48814	395	eligible	within_max_length
O48828	160	eligible	within_max_length
O48844	1004	eligible	within_max_length
O48845	134	eligible	within_max_length
O48847	787	eligible	within_max_length
O48916	237	eligible	within_max_length
O48917	477	eligible	within_max_length
O48946	1081	excluded_length	sequence_exceeds_max_length
O48963	996	eligible	within_max_length
O49160	900	eligible	within_max_length
O49213	323	eligible	within_max_length
O49299	583	eligible	within_max_length
O49396	512	eligible	within_max_length
O49404	284	eligible	within_max_length
O49413	406	eligible	within_max_length
O49460	288	eligible	within_max_length
O49515	303	eligible	within_max_length
O49519	75	eligible	within_max_length
O49538	374	eligible	within_max_length
O49552	1088	excluded_length	sequence_exceeds_max_length
O49553	145	eligible	within_max_length
O49653	353	eligible	within_max_length
O49654	688	eligible	within_max_length
O49660	491	eligible	within_max_length
O49663	176	eligible	within_max_length
O49686	191	eligible	within_max_length
O49687	589	eligible	within_max_length
O49697	262	eligible	within_max_length
O49839	426	eligible	within_max_length
O49840	426	eligible	within_max_length
O50055	355	eligible	within_max_length
O64399	295	eligible	within_max_length
O64425	249	eligible	within_max_length
O64471	315	eligible	within_max_length
O64477	828	eligible	within_max_length
O64503	332	eligible	within_max_length
O64511	399	eligible	within_max_length
O64531	399	eligible	within_max_length
O64602	510	eligible	within_max_length
O64636	512	eligible	within_max_length
O64638	515	eligible	within_max_length
O64647	356	eligible	within_max_length
O64682	438	eligible	within_max_length
O64687	148	eligible	within_max_length
O64778	807	eligible	within_max_length
O64798	389	eligible	within_max_length
O64816	432	eligible	within_max_length
O64817	333	eligible	within_max_length
O64823	336	eligible	within_max_length
O64903	231	eligible	within_max_length
O65154	107	eligible	within_max_length
O65155	165	eligible	within_max_length
O65282	253	eligible	within_max_length
O65373	215	eligible	within_max_length
O65389	329	eligible	within_max_length
O65397	108	eligible	within_max_length
O65398	283	eligible	within_max_length
O65421	209	eligible	within_max_length
O65469	265	eligible	within_max_length
O65499	284	eligible	within_max_length
O65508	377	eligible	within_max_length
O65515	238	eligible	within_max_length
O65554	441	eligible	within_max_length
O65555	441	eligible	within_max_length
O65567	904	eligible	within_max_length
O65665	272	eligible	within_max_length
O65685	532	eligible	within_max_length
O65719	649	eligible	within_max_length
O65782	499	eligible	within_max_length
O65784	498	eligible	within_max_length
O65786	504	eligible	within_max_length
O65896	301	eligible	within_max_length
O80345	479	eligible	within_max_length
O80365	225	eligible	within_max_length
O80366	234	eligible	within_max_length
O80438	190	eligible	within_max_length
O80452	839	eligible	within_max_length
O80474	263	eligible	within_max_length
O80480	538	eligible	within_max_length
O80482	207	eligible	within_max_length
O80492	428	eligible	within_max_length
O80501	208	eligible	within_max_length
O80513	202	eligible	within_max_length
O80517	202	eligible	within_max_length
O80536	524	eligible	within_max_length
O80548	693	eligible	within_max_length
O80565	343	eligible	within_max_length
O80574	347	eligible	within_max_length
O80582	409	eligible	within_max_length
O80605	594	eligible	within_max_length
O80626	123	eligible	within_max_length
O80632	394	eligible	within_max_length
O80638	374	eligible	within_max_length
O80651	260	eligible	within_max_length
O80653	613	eligible	within_max_length
O80654	244	eligible	within_max_length
O80674	253	eligible	within_max_length
O80719	365	eligible	within_max_length
O80722	588	eligible	within_max_length
O80739	827	eligible	within_max_length
O80748	251	eligible	within_max_length
O80759	318	eligible	within_max_length
O80762	406	eligible	within_max_length
O80765	383	eligible	within_max_length
O80786	727	eligible	within_max_length
O80805	279	eligible	within_max_length
O80837	190	eligible	within_max_length
O80860	695	eligible	within_max_length
O80861	260	eligible	within_max_length
O80871	396	eligible	within_max_length
O80902	431	eligible	within_max_length
O80915	220	eligible	within_max_length
O80917	244	eligible	within_max_length
O80920	207	eligible	within_max_length
O80931	367	eligible	within_max_length
O80952	296	eligible	within_max_length
O80963	776	eligible	within_max_length
O80982	345	eligible	within_max_length
O80992	190	eligible	within_max_length
O81001	530	eligible	within_max_length
O81069	884	eligible	within_max_length
O81098	205	eligible	within_max_length
O81108	1014	eligible	within_max_length
O81126	200	eligible	within_max_length
O81127	187	eligible	within_max_length
O81148	250	eligible	within_max_length
O81149	237	eligible	within_max_length
O81223	222	eligible	within_max_length
O81275	276	eligible	within_max_length
O81283	1503	excluded_length	sequence_exceeds_max_length
O81292	674	eligible	within_max_length
O81313	198	eligible	within_max_length
O81323	228	eligible	within_max_length
O81325	475	eligible	within_max_length
O81346	541	eligible	within_max_length
O81445	213	eligible	within_max_length
O81483	107	eligible	within_max_length
O81632	283	eligible	within_max_length
O81635	987	eligible	within_max_length
O81644	976	eligible	within_max_length
O81775	158	eligible	within_max_length
O81793	271	eligible	within_max_length
O81836	314	eligible	within_max_length
O81838	278	eligible	within_max_length
O81851	304	eligible	within_max_length
O81893	391	eligible	within_max_length
O81905	850	eligible	within_max_length
O82132	335	eligible	within_max_length
O82197	213	eligible	within_max_length
O82222	173	eligible	within_max_length
O82226	747	eligible	within_max_length
O82290	387	eligible	within_max_length
O82307	315	eligible	within_max_length
O82312	800	eligible	within_max_length
O82329	386	eligible	within_max_length
O82337	73	eligible	within_max_length
O82345	1043	excluded_length	sequence_exceeds_max_length
O82352	255	eligible	within_max_length
O82462	719	eligible	within_max_length
O82491	1074	excluded_length	sequence_exceeds_max_length
O82568	389	eligible	within_max_length
O82595	333	eligible	within_max_length
O82617	162	eligible	within_max_length
O82632	308	eligible	within_max_length
O82638	264	eligible	within_max_length
O82752	502	eligible	within_max_length
O82754	736	eligible	within_max_length
O82756	313	eligible	within_max_length
O82798	259	eligible	within_max_length
P04778	267	eligible	within_max_length
P05466	520	eligible	within_max_length
P0C2G4	393	eligible	within_max_length
P0C7P7	453	eligible	within_max_length
P0C7Q8	532	eligible	within_max_length
P0C896	576	eligible	within_max_length
P0C8R0	546	eligible	within_max_length
P0CB21	708	eligible	within_max_length
P0CW77	542	eligible	within_max_length
P0DKH5	1288	excluded_length	sequence_exceeds_max_length
P10795	180	eligible	within_max_length
P10798	181	eligible	within_max_length
P14712	1122	excluded_length	sequence_exceeds_max_length
P14713	1172	excluded_length	sequence_exceeds_max_length
P14714	1111	excluded_length	sequence_exceeds_max_length
P15459	164	eligible	within_max_length
P17597	670	eligible	within_max_length
P17839	252	eligible	within_max_length
P18064	383	eligible	within_max_length
P19456	948	eligible	within_max_length
P20115	474	eligible	within_max_length
P20649	949	eligible	within_max_length
P21240	600	eligible	within_max_length
P22738	390	eligible	within_max_length
P22953	651	eligible	within_max_length
P22954	653	eligible	within_max_length
P23321	332	eligible	within_max_length
P23586	522	eligible	within_max_length
P24100	294	eligible	within_max_length
P24636	444	eligible	within_max_length
P24704	152	eligible	within_max_length
P25071	324	eligible	within_max_length
P25697	395	eligible	within_max_length
P25818	251	eligible	within_max_length
P25819	492	eligible	within_max_length
P25856	396	eligible	within_max_length
P27140	347	eligible	within_max_length
P27202	140	eligible	within_max_length
P27323	700	eligible	within_max_length
P27450	419	eligible	within_max_length
P28187	214	eligible	within_max_length
P28188	203	eligible	within_max_length
P28297	576	eligible	within_max_length
P28493	239	eligible	within_max_length
P29381	248	eligible	within_max_length
P29383	258	eligible	within_max_length
P29385	246	eligible	within_max_length
P29513	449	eligible	within_max_length
P29517	444	eligible	within_max_length
P30181	916	eligible	within_max_length
P30184	520	eligible	within_max_length
P30186	250	eligible	within_max_length
P30187	191	eligible	within_max_length
P30302	285	eligible	within_max_length
P31167	381	eligible	within_max_length
P31169	66	eligible	within_max_length
P31582	200	eligible	within_max_length
P34047	270	eligible	within_max_length
P34788	152	eligible	within_max_length
P34791	260	eligible	within_max_length
P35510	725	eligible	within_max_length
P35631	256	eligible	within_max_length
P36210	191	eligible	within_max_length
P36397	181	eligible	within_max_length
P37106	479	eligible	within_max_length
P37107	564	eligible	within_max_length
P38418	896	eligible	within_max_length
P40228	287	eligible	within_max_length
P40940	182	eligible	within_max_length
P41127	206	eligible	within_max_length
P41376	412	eligible	within_max_length
P41377	412	eligible	within_max_length
P42697	610	eligible	within_max_length
P42698	387	eligible	within_max_length
P42730	911	eligible	within_max_length
P42752	361	eligible	within_max_length
P42762	945	eligible	within_max_length
P42776	382	eligible	within_max_length
P42777	270	eligible	within_max_length
P42795	182	eligible	within_max_length
P42801	511	eligible	within_max_length
P42813	230	eligible	within_max_length
P42818	465	eligible	within_max_length
P42825	419	eligible	within_max_length
P43254	675	eligible	within_max_length
P43273	330	eligible	within_max_length
P43286	287	eligible	within_max_length
P43287	285	eligible	within_max_length
P43291	363	eligible	within_max_length
P43294	443	eligible	within_max_length
P43298	942	eligible	within_max_length
P43299	716	eligible	within_max_length
P46014	581	eligible	within_max_length
P46077	267	eligible	within_max_length
P46286	258	eligible	within_max_length
P46312	448	eligible	within_max_length
P46573	412	eligible	within_max_length
P46600	282	eligible	within_max_length
P46639	398	eligible	within_max_length
P46665	336	eligible	within_max_length
P46897	258	eligible	within_max_length
P47192	221	eligible	within_max_length
P47735	999	eligible	within_max_length
P47998	322	eligible	within_max_length
P47999	392	eligible	within_max_length
P48006	231	eligible	within_max_length
P48007	208	eligible	within_max_length
P48349	248	eligible	within_max_length
P48641	499	eligible	within_max_length
P48731	473	eligible	within_max_length
P48785	796	eligible	within_max_length
P49177	377	eligible	within_max_length
P49205	141	eligible	within_max_length
P49333	738	eligible	within_max_length
P49597	434	eligible	within_max_length
P49598	399	eligible	within_max_length
P49677	168	eligible	within_max_length
P49689	62	eligible	within_max_length
P51102	382	eligible	within_max_length
P51566	467	eligible	within_max_length
P51567	427	eligible	within_max_length
P51568	400	eligible	within_max_length
P52032	236	eligible	within_max_length
P53780	464	eligible	within_max_length
P54609	809	eligible	within_max_length
P55034	386	eligible	within_max_length
P55228	520	eligible	within_max_length
P55737	699	eligible	within_max_length
P55852	100	eligible	within_max_length
P56755	172	eligible	within_max_length
P56760	81	eligible	within_max_length
P56761	353	eligible	within_max_length
P56762	329	eligible	within_max_length
P56764	1376	excluded_length	sequence_exceeds_max_length
P56771	320	eligible	within_max_length
P56773	215	eligible	within_max_length
P56780	73	eligible	within_max_length
P56785	1786	excluded_length	sequence_exceeds_max_length
P56792	122	eligible	within_max_length
P56795	160	eligible	within_max_length
P56804	100	eligible	within_max_length
P57742	151	eligible	within_max_length
P57758	270	eligible	within_max_length
P58684	192	eligible	within_max_length
P59220	149	eligible	within_max_length
P59229	166	eligible	within_max_length
P59232	157	eligible	within_max_length
P59233	157	eligible	within_max_length
P60112	85	eligible	within_max_length
P61837	286	eligible	within_max_length
P62598	596	eligible	within_max_length
P68349	260	eligible	within_max_length
P68350	175	eligible	within_max_length
P82280	352	eligible	within_max_length
P82715	297	eligible	within_max_length
P82805	187	eligible	within_max_length
P82873	210	eligible	within_max_length
P82874	202	eligible	within_max_length
P83484	556	eligible	within_max_length
P83755	353	eligible	within_max_length
P84634	1702	excluded_length	sequence_exceeds_max_length
P92525	184	eligible	within_max_length
P92557	148	eligible	within_max_length
P92935	618	eligible	within_max_length
P92942	780	eligible	within_max_length
P92958	512	eligible	within_max_length
P92963	211	eligible	within_max_length
P92965	350	eligible	within_max_length
P92973	608	eligible	within_max_length
P92978	197	eligible	within_max_length
P92981	454	eligible	within_max_length
P92983	499	eligible	within_max_length
P93002	593	eligible	within_max_length
P93004	280	eligible	within_max_length
P93022	1164	excluded_length	sequence_exceeds_max_length
P93024	902	eligible	within_max_length
P93025	915	eligible	within_max_length
P93045	240	eligible	within_max_length
P93048	86	eligible	within_max_length
P93050	617	eligible	within_max_length
P93303	158	eligible	within_max_length
P93306	394	eligible	within_max_length
P93743	269	eligible	within_max_length
P93819	332	eligible	within_max_length
P93822	133	eligible	within_max_length
P93831	902	eligible	within_max_length
P93832	405	eligible	within_max_length
P93836	445	eligible	within_max_length
P94077	189	eligible	within_max_length
P94102	342	eligible	within_max_length
Q00958	420	eligible	within_max_length
Q01474	193	eligible	within_max_length
Q01525	259	eligible	within_max_length
Q01667	241	eligible	within_max_length
Q02283	272	eligible	within_max_length
Q03509	149	eligible	within_max_length
Q05466	284	eligible	within_max_length
Q05609	821	eligible	within_max_length
Q05753	435	eligible	within_max_length
Q05763	565	eligible	within_max_length
Q058I9	354	eligible	within_max_length
Q058N0	495	eligible	within_max_length
Q058P7	445	eligible	within_max_length
Q06850	610	eligible	within_max_length
Q07098	306	eligible	within_max_length
Q08467	409	eligible	within_max_length
Q08733	286	eligible	within_max_length
Q08A69	412	eligible	within_max_length
Q0PCS3	910	eligible	within_max_length
Q0PW40	673	eligible	within_max_length
Q0V7X4	318	eligible	within_max_length
Q0V7Y3	404	eligible	within_max_length
Q0V811	229	eligible	within_max_length
Q0WKW1	779	eligible	within_max_length
Q0WKZ9	521	eligible	within_max_length
Q0WLB5	1703	excluded_length	sequence_exceeds_max_length
Q0WLS8	1377	excluded_length	sequence_exceeds_max_length
Q0WLZ8	196	eligible	within_max_length
Q0WM93	1265	excluded_length	sequence_exceeds_max_length
Q0WN54	500	eligible	within_max_length
Q0WNP7	463	eligible	within_max_length
Q0WPF2	808	eligible	within_max_length
Q0WPH8	956	eligible	within_max_length
Q0WQ91	157	eligible	within_max_length
Q0WQN9	298	eligible	within_max_length
Q0WR59	1048	excluded_length	sequence_exceeds_max_length
Q0WRC9	479	eligible	within_max_length
Q0WT48	687	eligible	within_max_length
Q0WTY4	222	eligible	within_max_length
Q0WUA3	382	eligible	within_max_length
Q0WVD6	601	eligible	within_max_length
Q0WVM4	634	eligible	within_max_length
Q0WVR4	345	eligible	within_max_length
Q0WVZ1	743	eligible	within_max_length
Q0WW40	383	eligible	within_max_length
Q0WW84	435	eligible	within_max_length
Q147F7	455	eligible	within_max_length
Q147J7	130	eligible	within_max_length
Q147N7	287	eligible	within_max_length
Q147Q9	384	eligible	within_max_length
Q17TI5	344	eligible	within_max_length
Q1EBV6	410	eligible	within_max_length
Q1EC57	317	eligible	within_max_length
Q1ECF1	211	eligible	within_max_length
Q1ECJ7	174	eligible	within_max_length
Q1ECK0	167	eligible	within_max_length
Q1G3F7	456	eligible	within_max_length
Q1G3K7	127	eligible	within_max_length
Q1G3Q4	256	eligible	within_max_length
Q1G3Z3	91	eligible	within_max_length
Q1H595	93	eligible	within_max_length
Q1H5F3	149	eligible	within_max_length
Q1HDT2	859	eligible	within_max_length
Q1JPM3	522	eligible	within_max_length
Q1JPN7	476	eligible	within_max_length
Q1JPP8	72	eligible	within_max_length
Q1KS66	493	eligible	within_max_length
Q1PDZ0	193	eligible	within_max_length
Q1PED2	194	eligible	within_max_length
Q1PEL7	177	eligible	within_max_length
Q1PET6	422	eligible	within_max_length
Q1PEU3	252	eligible	within_max_length
Q1PEY6	156	eligible	within_max_length
Q1PFB9	555	eligible	within_max_length
Q1PFV9	243	eligible	within_max_length
Q24JL3	342	eligible	within_max_length
Q27GL4	273	eligible	within_max_length
Q27GM2	245	eligible	within_max_length
Q27IK7	2066	excluded_length	sequence_exceeds_max_length
Q29PQ8	231	eligible	within_max_length
Q29PT3	156	eligible	within_max_length
Q29PZ8	150	eligible	within_max_length
Q29Q26	344	eligible	within_max_length
Q29Q28	345	eligible	within_max_length
Q29Q34	326	eligible	within_max_length
Q29Q72	147	eligible	within_max_length
Q2EF88	675	eligible	within_max_length
Q2HIK4	129	eligible	within_max_length
Q2HIV3	259	eligible	within_max_length
Q2HIW3	245	eligible	within_max_length
Q2LAE1	1759	excluded_length	sequence_exceeds_max_length
Q2V359	190	eligible	within_max_length
Q2V3B2	323	eligible	within_max_length
Q2V3H2	390	eligible	within_max_length
Q2VWA2	197	eligible	within_max_length
Q304A0	386	eligible	within_max_length
Q38796	953	eligible	within_max_length
Q38798	532	eligible	within_max_length
Q38819	450	eligible	within_max_length
Q38822	189	eligible	within_max_length
Q38824	189	eligible	within_max_length
Q38825	243	eligible	within_max_length
Q38826	321	eligible	within_max_length
Q38828	261	eligible	within_max_length
Q38832	228	eligible	within_max_length
Q38834	852	eligible	within_max_length
Q38838	221	eligible	within_max_length
Q38847	268	eligible	within_max_length
Q38851	236	eligible	within_max_length
Q38853	182	eligible	within_max_length
Q38856	347	eligible	within_max_length
Q38861	767	eligible	within_max_length
Q38869	501	eligible	within_max_length
Q38872	544	eligible	within_max_length
Q38874	382	eligible	within_max_length
Q38876	242	eligible	within_max_length
Q38879	133	eligible	within_max_length
Q38882	810	eligible	within_max_length
Q38885	551	eligible	within_max_length
Q38899	363	eligible	within_max_length
Q38900	173	eligible	within_max_length
Q38902	197	eligible	within_max_length
Q38906	313	eligible	within_max_length
Q38911	289	eligible	within_max_length
Q38919	195	eligible	within_max_length
Q38920	482	eligible	within_max_length
Q38935	153	eligible	within_max_length
Q38937	196	eligible	within_max_length
Q38960	346	eligible	within_max_length
Q38970	2254	excluded_length	sequence_exceeds_max_length
Q38997	512	eligible	within_max_length
Q38998	857	eligible	within_max_length
Q39008	608	eligible	within_max_length
Q39009	344	eligible	within_max_length
Q39010	412	eligible	within_max_length
Q39011	380	eligible	within_max_length
Q39019	421	eligible	within_max_length
Q39021	370	eligible	within_max_length
Q39023	370	eligible	within_max_length
Q39024	376	eligible	within_max_length
Q39026	395	eligible	within_max_length
Q39041	664	eligible	within_max_length
Q39050	457	eligible	within_max_length
Q39057	373	eligible	within_max_length
Q39065	170	eligible	within_max_length
Q39068	429	eligible	within_max_length
Q39079	538	eligible	within_max_length
